Year,Value
1960,1.03081E+13
1961,1.03053E+13
1962,1.03047E+13
1963,1.02958E+13
1964,1.02956E+13
1965,1.02851E+13
1966,1.02848E+13
1967,1.02828E+13
1968,1.0279E+13
1969,1.02761E+13
1970,1.02633E+13
1971,1.02563E+13
1972,1.02427E+13
1973,1.02181E+13
1974,1.02126E+13
1975,1.02064E+13
1976,1.02032E+13
1977,1.01937E+13
1978,1.01825E+13
1979,1.0178E+13
1980,1.01652E+13
1981,1.01605E+13
1982,1.01513E+13
1983,1.01259E+13
1984,1.00967E+13
1985,1.00835E+13
1986,1.0056E+13
1987,1.00474E+13
1988,1.00441E+13
1989,1.00089E+13
1990,9.99586E+12
1991,9.97338E+12
1992,9.9299E+12
1993,9.91196E+12
1994,9.79257E+12
1995,9.6228E+12
1996,9.49399E+12
1997,9.39667E+12
1998,9.32955E+12
1999,9.26538E+12
2000,9.14957E+12
2001,9.0226E+12
2002,8.89293E+12
2003,8.7049E+12
2004,8.41309E+12
2005,8.08623E+12
2006,7.62505E+12
2007,6.83174E+12
2008,5.7964E+12
2009,5.29541E+12
2010,4.31517E+12
2011,2.8624E+12
2012,1.89321E+12
2013,8.64229E+11
2014,0
