id,start,type,pjt,dpt,end,exe,bal,draw,pri,int
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2017-04-05,270000000,158220
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2018-01-31,32000000,0
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2019-03-13,0,28470
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2019-04-30,69000000,5440
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2019-05-31,49000000,6360
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2019-08-30,192334000,61960
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2020-03-13,0,35640
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2020-04-29,30000000,0
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2021-01-29,3225400,0
1000016070,2017-03-13,團除懦濠,tac,熱⑺擎ч,2022-03-13,687000000,0,2022-03-14,41440600,0
1000016115,2017-03-27,團除懦濠,tac,熱⑺擎ч,2022-03-27,100000000,0,2019-03-27,0,7390
1000016115,2017-03-27,團除懦濠,tac,熱⑺擎ч,2022-03-27,100000000,0,2020-03-27,33340000,47740
1000016115,2017-03-27,團除懦濠,tac,熱⑺擎ч,2022-03-27,100000000,0,2021-03-29,33330000,0
1000016115,2017-03-27,團除懦濠,tac,熱⑺擎ч,2022-03-27,100000000,0,2021-12-31,17000000,0
1000016115,2017-03-27,團除懦濠,tac,熱⑺擎ч,2022-03-27,100000000,0,2022-03-28,16330000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2017-05-12,28000000,26390
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2017-09-29,318000000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2018-12-31,90000000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2019-04-05,0,27810
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2019-04-30,126000000,6900
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2020-02-28,36772000,15670
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2020-04-06,0,171030
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2020-05-29,60000000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2021-01-29,40000000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2021-04-30,39666000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2022-01-28,23666000,0
1000016155,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,1000000000,0,2022-04-05,237896000,0
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2018-04-05,0,10513500
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2019-04-05,0,10513500
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2019-12-31,41000000,494350
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2020-04-06,174000000,9899140
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2021-04-05,215000000,6989790
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2022-02-28,83000000,1219460
1000016164,2017-04-05,團除懦濠,tac,熱⑺擎ч,2022-04-05,645000000,0,2022-04-05,132000000,2151600
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2017-05-12,22000000,17370
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2017-07-31,75000000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2018-11-30,50000000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2019-04-11,0,17400
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2019-07-31,45000000,11180
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2020-04-13,0,131290
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2021-03-31,38333000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2021-04-12,103007000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2021-04-30,33000000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2021-07-30,3000000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2022-01-28,20000000,0
1000016183,2017-04-11,團除懦濠,tac,熱⑺擎ч,2022-04-11,500000000,0,2022-04-11,110660000,0
1000016194,2017-04-19,團除懦濠,tac,熱⑺擎ч,2022-04-19,73000000,0,2017-05-12,38000000,22260
1000016194,2017-04-19,團除懦濠,tac,熱⑺擎ч,2022-04-19,73000000,0,2019-03-29,35000000,1320
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2018-04-24,0,4560740
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2018-06-29,43000000,126730
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2018-12-31,46800000,524580
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2019-04-24,0,3097000
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2020-04-24,3480000,3105480
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2020-06-30,332000,990
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2020-12-31,77336000,866860
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2021-04-26,15592000,1784000
1000016223,2017-04-24,團除懦濠,tac,熱⑺擎ч,2022-04-24,279800000,0,2022-04-25,93260000,1515970
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2018-04-30,99000000,0
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2018-12-31,32000000,0
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2019-05-13,0,45990
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2020-05-11,35680000,146380
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2021-05-11,166660000,0
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2021-05-31,46000000,0
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2021-06-30,106865050,0
1000016319,2017-05-11,團除懦濠,tac,熱⑺擎ч,2022-05-11,500000000,0,2021-12-31,13794950,0
1000016547,2017-06-27,團除懦濠,tac,熱⑺擎ч,2022-06-27,138000000,0,2018-06-27,0,2249400
1000016547,2017-06-27,團除懦濠,tac,熱⑺擎ч,2022-06-27,138000000,0,2019-06-27,0,2249400
1000016547,2017-06-27,團除懦濠,tac,熱⑺擎ч,2022-06-27,138000000,0,2019-10-31,138000000,776500
1000016585,2017-07-03,團除懦濠,tac,熱⑺擎ч,2022-07-03,640000000,0,2018-07-03,0,10432000
1000016585,2017-07-03,團除懦濠,tac,熱⑺擎ч,2022-07-03,640000000,0,2019-07-03,0,10432000
1000016585,2017-07-03,團除懦濠,tac,熱⑺擎ч,2022-07-03,640000000,0,2020-07-03,213340000,10460580
1000016585,2017-07-03,團除懦濠,tac,熱⑺擎ч,2022-07-03,640000000,0,2021-07-05,213330000,6992660
1000016585,2017-07-03,團除懦濠,tac,熱⑺擎ч,2022-07-03,640000000,0,2022-07-04,213330000,3467750
1000016619,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,386000000,0,2018-07-11,0,6291800
1000016619,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,386000000,0,2019-07-11,0,6291800
1000016619,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,386000000,0,2020-07-13,128680000,6343510
1000016619,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,386000000,0,2021-07-12,128660000,4182820
1000016619,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,386000000,0,2022-07-11,128660000,2091410
1000016621,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,300000000,0,2019-07-11,0,74620
1000016621,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,300000000,0,2020-07-13,100000000,68050
1000016621,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,300000000,0,2021-07-12,100000000,0
1000016621,2017-07-11,團除懦濠,tac,熱⑺擎ч,2022-07-11,300000000,0,2022-07-11,100000000,0
1000016663,2017-07-25,團除懦濠,tac,熱⑺擎ч,2022-07-25,73000000,0,2018-07-25,0,1189900
1000016663,2017-07-25,團除懦濠,tac,熱⑺擎ч,2022-07-25,73000000,0,2019-07-25,0,1189900
1000016663,2017-07-25,團除懦濠,tac,熱⑺擎ч,2022-07-25,73000000,0,2020-01-31,73000000,619400
1000016689,2017-08-07,團除懦濠,tac,熱⑺擎ч,2022-08-07,88000000,0,2019-08-07,0,37330
1000016689,2017-08-07,團除懦濠,tac,熱⑺擎ч,2022-08-07,88000000,0,2020-08-07,29340000,8870
1000016689,2017-08-07,團除懦濠,tac,熱⑺擎ч,2022-08-07,88000000,0,2021-08-09,29330000,0
1000016689,2017-08-07,團除懦濠,tac,熱⑺擎ч,2022-08-07,88000000,0,2022-08-08,29330000,0
1000016710,2017-08-17,團除懦濠,tac,熱⑺擎ч,2022-08-17,20000000,0,2019-08-19,0,8610
1000016710,2017-08-17,團除懦濠,tac,熱⑺擎ч,2022-08-17,20000000,0,2020-08-18,6680000,1970
1000016710,2017-08-17,團除懦濠,tac,熱⑺擎ч,2022-08-17,20000000,0,2020-11-30,5000000,0
1000016710,2017-08-17,團除懦濠,tac,熱⑺擎ч,2022-08-17,20000000,0,2021-04-30,8320000,0
1000016734,2017-08-24,團除懦濠,tac,熱⑺擎ч,2022-08-24,255000000,0,2018-05-31,60000000,0
1000016734,2017-08-24,團除懦濠,tac,熱⑺擎ч,2022-08-24,255000000,0,2019-08-26,0,84030
1000016734,2017-08-24,團除懦濠,tac,熱⑺擎ч,2022-08-24,255000000,0,2019-08-30,64000000,280
1000016734,2017-08-24,團除懦濠,tac,熱⑺擎ч,2022-08-24,255000000,0,2019-09-30,31000000,1180
1000016734,2017-08-24,團除懦濠,tac,熱⑺擎ч,2022-08-24,255000000,0,2020-08-24,0,9860
1000016734,2017-08-24,團除懦濠,tac,熱⑺擎ч,2022-08-24,255000000,0,2020-08-31,100000000,0
1000016812,2017-09-18,團除懦濠,tac,熱⑺擎ч,2022-09-18,28000000,0,2019-09-18,0,11940
1000016812,2017-09-18,團除懦濠,tac,熱⑺擎ч,2022-09-18,28000000,0,2020-03-31,28000000,3490
1000016884,2017-10-18,團除懦濠,tac,熱⑺擎ч,2022-10-18,624000000,0,2017-11-10,540000000,316450
1000016884,2017-10-18,團除懦濠,tac,熱⑺擎ч,2022-10-18,624000000,0,2019-10-18,0,39940
1000016884,2017-10-18,團除懦濠,tac,熱⑺擎ч,2022-10-18,624000000,0,2020-05-29,36000000,0
1000016884,2017-10-18,團除懦濠,tac,熱⑺擎ч,2022-10-18,624000000,0,2021-06-30,48000000,0
1000016887,2017-10-18,團除懦濠,tac,熱⑺擎ч,2022-10-18,138000000,0,2018-01-31,138000000,488290
1000016954,2017-11-10,團除懦濠,tac,熱⑺擎ч,2022-11-10,1367000000,0,2019-11-11,0,719450
1000016954,2017-11-10,團除懦濠,tac,熱⑺擎ч,2022-11-10,1367000000,0,2020-10-30,446668000,0
1000016954,2017-11-10,團除懦濠,tac,熱⑺擎ч,2022-11-10,1367000000,0,2020-11-10,9012000,0
1000016954,2017-11-10,團除懦濠,tac,熱⑺擎ч,2022-11-10,1367000000,0,2021-11-10,455660000,0
1000016954,2017-11-10,團除懦濠,tac,熱⑺擎ч,2022-11-10,1367000000,0,2021-11-30,9000000,0
1000016954,2017-11-10,團除懦濠,tac,熱⑺擎ч,2022-11-10,1367000000,0,2022-11-10,446660000,0
1000016989,2017-11-17,團除懦濠,tac,熱⑺擎ч,2022-11-17,300000000,0,2018-11-30,9337760,0
1000016989,2017-11-17,團除懦濠,tac,熱⑺擎ч,2022-11-17,300000000,0,2019-11-18,0,152960
1000016989,2017-11-17,團除懦濠,tac,熱⑺擎ч,2022-11-17,300000000,0,2020-01-31,59100000,0
1000016989,2017-11-17,團除懦濠,tac,熱⑺擎ч,2022-11-17,300000000,0,2020-11-17,31562240,0
1000016989,2017-11-17,團除懦濠,tac,熱⑺擎ч,2022-11-17,300000000,0,2021-11-17,100000000,0
1000016989,2017-11-17,團除懦濠,tac,熱⑺擎ч,2022-11-17,300000000,0,2021-12-31,100000000,0
1000017042,2017-12-01,團除懦濠,tac,熱⑺擎ч,2022-12-01,115000000,0,2019-04-30,77000000,13280
